label,AGR,LMN,HMN,SRV,CAP,LAB,HOH,GOV,INV,EXT,IDT,TRF
AGR,1643.017,7560.896,237.841,1409.202,0.0,0.0,3563.257,0.0,919.745,62.464,0.0,0.0
LMN,1485.854,10803.527,15330.764,18597.27,0.0,0.0,32220.169,329.469,802.026,1196.525,0.0,0.0
HMN,1071.954,4277.721,113390.269,48734.424,0.0,0.0,27648.678,4.931,34979.803,55083.516,0.0,0.0
SRV,2002.38,11406.26,50513.476,177675.714,0.0,0.0,234243.865,90707.177,79169.426,17426.156,0.0,0.0
CAP,5082.506,7042.697,21058.821,163045.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAB,1435.01,8942.365,42510.123,222732.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOH,0.0,0.0,0.0,0.0,196229.42,275620.198,0.0,0.0,0.0,0.0,0.0,0.0
GOV,0.0,0.0,0.0,0.0,0.0,0.0,52243.041,0.0,0.0,0.0,34024.445,4774.091
INV,0.0,0.0,0.0,0.0,0.0,0.0,121930.608,0.0,0.0,-6059.608,0.0,0.0
EXT,2092.569,23796.669,30982.559,10837.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDT,433.854,4068.616,9418.058,20103.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRF,149.278,2866.853,1749.385,8.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
